gene_id/transcript_id	SJINF053_211_withinKeepPairs
ABCB5-003	0.0
ABCB5-006	0.0
ARX-001	0.0
SLC25A13-001	386.24
SLC25A13-201	10.15
SLC25A13-005	28.41
SLC25A13-003	19.33
SLC25A13-004	0.0
SLC25A13-002	0.0
SLC25A13-006	12.97
SLC25A13-007	25.9
ST7-002	17.59
ST7-001	0.0
ST7-004	0.0
ST7-006	0.0
ST7-013	0.0
ST7-005	0.0
ST7-014	0.0
ST7-007	0.0
ST7-027	0.0
ST7-029	3.05
ST7-028	0.0
ST7-012	0.0
ST7-016	0.0
ST7-023	0.0
ST7-015	0.0
ST7-021	0.0
ST7-026	0.0
ST7-019	0.0
ST7-025	0.0
ST7-020	0.0
ST7-030	0.0
ST7-018	0.0
ST7-022	0.0
ST7-024	0.0
ST7-017	0.12
ST7-011	0.0
ST7-009	11.15
ST7-008	0.0
ST7-010	0.0
ST7-201	0.0
CDC27-001	1698.04
CDC27-003	0.0
CDC27-006	0.0
CDC27-005	384.98
CDC27-010	1.05
CDC27-009	1.89
CDC27-002	171.86
CDC27-008	0.0
CDC27-011	0.0
CDC27-004	0.0
CDC27-016	40.43
CDC27-017	0.0
CDC27-014	9.68
CDC27-015	1.97
CDC27-013	1.74
CDC27-018	0.0
CDC27-012	0.0
CDC27-020	0.0
CDC27-019	1.35
SLC4A1-001	518.51
SLC4A1-201	0.0
SLC4A1-003	0.0
SLC4A1-002	81.49
SLC4A1-004	0.0
SLC4A1-202	0.0
CALCR-201	0.0
CALCR-202	0.0
CALCR-002	0.0
CALCR-004	0.0
CALCR-001	0.0
CALCR-003	0.0
CALCR-005	0.0
HCCS-001	99.38
HCCS-002	147.62
HCCS-003	0.0
DVL2-001	1029.43
DVL2-017	7.44
DVL2-003	26.43
DVL2-014	1.95
DVL2-010	0.0
DVL2-013	2.41
DVL2-007	9.54
DVL2-016	93.44
DVL2-004	0.0
DVL2-008	239.62
DVL2-015	5.91
DVL2-011	39.71
DVL2-018	41.45
DVL2-009	7.66
DVL2-012	0.0
PRSS22-001	0.0
PRSS22-007	0.0
PRSS22-002	0.0
PRSS22-009	0.0
PRSS22-005	0.0
PRSS22-008	0.0
PRSS22-003	0.0
PRSS22-006	0.0
UPF1-001	3323.77
UPF1-009	21.22
UPF1-003	1.33
UPF1-012	283.85
UPF1-006	0.0
UPF1-008	3.3
UPF1-002	831.62
UPF1-005	9.12
UPF1-007	5.41
UPF1-013	27.33
UPF1-004	67.84
UPF1-010	79.21
UPF1-011	0.0
SKAP2-001	3382.51
SKAP2-007	0.0
SKAP2-002	23.29
SKAP2-003	1.24
SKAP2-006	0.0
SKAP2-009	0.0
SKAP2-004	0.0
SKAP2-005	10.71
SKAP2-008	3.25
