gene_id	test_unc_SRR1559191
ASAH2	17.8284
ASAM	2.2286
ASAP1IT1	0.0000
ASAP1	589.0801
ASAP2	233.9978
ASAP3	162.1889
ASB10	0.9905
ASB11	0.0000
ASB12	5.6952
ASB13	605.6704
ASB14	11.3904
ASB15	1.7333
ASB16	132.2273
ASB17	0.0000
ASB18	0.0000
ASB1	205.0266
ASB2	13.1237
ASB3	530.3949
ASB4	0.0000
ASB5	0.4952
ASB6	661.6318
ASB7	141.8844
ASB8	655.1938
ASB9	9.4094
ASCC1	452.8909
ASCC2	981.8002
ASCC3	180.2649
ASCL1	1612.2323
ASCL2	8.1714
ASCL3	0.0000
ASCL4	0.7429
ASF1A	308.2828
ASF1B	375.8821
ASFMR1	0.0000
ASGR1	111.6751
ASGR2	10.1523
ASH1L	188.1887
ASH2L	668.8127
ASIP	6.6857
ASL	397.4248
ASMTL	368.2060
ASMT	1.2381
ASNA1	1320.2922
ASNSD1	777.5164
ASNS	3054.3519
ASPA	4.7047
ASPDH	116.3798
ASPG	0.7429
ASPHD1	1838.3063
ASPHD2	208.7409
ASPH	661.6318
ASPM	110.6847
ASPN	244.8929
ASPRV1	290.7020
ASPSCR1	1368.5774
ASRGL1	1247.4929
ASS1	102.2657
ASTE1	126.2845
ASTL	2.4762
ASTN1	266.6832
ASTN2	612.1085
ASXL1	1311.3780
ASXL2	34.9140
ASXL3	24.2664
ASZ1	0.7429
ATAD1	1370.8060
ATAD2B	92.3610
ATAD2	180.0173
ATAD3A	792.3734
ATAD3B	714.3741
ATAD3C	3.2190
ATAD5	73.5422
ATCAY	1296.7686
ATE1	129.2559
ATF1	213.4456
ATF2	319.1779
ATF3	832.9825
ATF4	8607.4037
ATF5	143.8653
ATF6B	1189.0553
ATF6	300.6067
ATF7IP2	172.5888
ATF7IP	308.5304
ATF7	265.9403
ATG10	114.6465
ATG12	662.1270
ATG16L1	705.4599
ATG16L2	415.9960
ATG2A	616.5656
ATG2B	179.5221
ATG3	1020.6760
ATG4A	262.4737
ATG4B	1702.8600
ATG4C	142.8748
ATG4D	617.0608
ATG5	304.0733
ATG7	194.6267
ATG9A	609.6323
ATG9B	142.3796
ATHL1	247.3691
ATIC	1204.6552
ATL1	453.8814
ATL2	445.4624
ATL3	106.2276
ATMIN	601.4609
ATM	141.3891
ATN1	2507.8618
ATOH1	0.0000
ATOH7	31.6949
ATOH8	11.3904
ATOX1	3696.6696
ATP10A	21.5427
ATP10B	0.0000
ATP10D	139.4082
ATP11A	84.4373
ATP11B	362.5108
ATP11C	402.1295
ATP12A	0.0000
ATP13A1	2239.1977
ATP13A2	1915.8103
ATP13A3	728.7359
